sample_id	latitude	longitude
SAMEA2622652	-8.9846	-139.2352
SAMEA2622673	-8.97545	-139.2412
SAMEA2622759,SAMEA2622766	-9.1528	-140.525
SAMEA2622923	0.0275	-153.6954
SAMEA2622658	-8.9846	-139.2352
SAMEA2622715	-8.90095	-140.3002
SAMEA2622764	-9.1528	-140.525
SAMEA2622843	-8.9051	-142.5614
SAMEA2621859	-29.6994	-101.187
SAMEA2620404	-9.40165	66.3754
SAMEA2623463	25.534	-88.3992
SAMEA2623488	25.6638	-88.4724
SAMN07137119	31.66	-64.16
SAMN05991676	22.75	-158.0
SAMEA2622021	-25.8425	-111.7142
SAMEA2622545	-23.1879	-129.547
SAMEA2622518	-23.2606	-129.4399
SAMEA2620570	-16.9604	53.94
SAMEA2623350	6.33235	-102.9458
SAMEA2623734	31.7657	-64.179
SAMEA2622119	-12.9474	-96.0527
SAMEA2622478	-16.9637	-100.7038
SAMN07137107	31.66	-64.16
SAMN07137075	31.66	-64.16
SAMN07137084	31.66	-64.16
SAMN07137081	31.66	-64.16
SAMEA2619531	39.1208	5.85945
SAMEA2619678	35.756	14.3109
SAMEA2621132	-8.77885	-17.9098
SAMEA2623808	35.8968	-37.238
SAMEA2621260	-30.1626	-43.2865
SAMN07136877	-31.6	178.0
SAMN07136878	-31.6	178.0
SAMN07136879	-31.6	178.0
SAMN07136880	-31.6	178.0
SAMN07136790	-32.5	-172.0
SAMN07136760	-30.0	174.0
SAMN05991694	22.75	-158.0
SAMN05991656	22.75	-158.0
SAMN05991663	22.75	-158.0
SAMEA2619802	30.9975	30.9733
SAMEA2619818	23.3808	37.2183
SAMEA2620000	19.0368	64.5038
SAMEA2620081	18.5759	66.4654
SAMEA2620672	-17.0266	42.7425
SAMN07136606	37.6073	-68.3895
SAMN07136609	37.6073	-68.3895
SAMN07136601	38.3243	-68.8755
SAMN07136599	38.3243	-68.8755
SAMN07136600	38.3243	-68.8755
SAMN07136598	38.3243	-68.8755
SAMN07136528	35.4162	-66.5408
SAMN05991690	22.75	-158.0
SAMN07136727	-32.5125	-158.028
SAMN07136825	-32.4948	-154.0042
SAMN04325108	36.608	17.971
SAMEA2623649	39.163	-70.0227
SAMEA2622499	-16.9606	-100.6674
